127.0.0.1, 2019-11-14 17:26:08, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001649
127.0.0.1, 2019-11-14 17:26:08, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.002629
127.0.0.1, 2019-11-14 17:26:08, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.002248
127.0.0.1, 2019-11-14 17:26:08, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.001028
127.0.0.1, 2019-11-14 17:26:09, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000243
127.0.0.1, 2019-11-14 17:26:09, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 304, 0.000308
127.0.0.1, 2019-11-14 17:26:13, GET, /admin/default/site, HTTP/1.1, 303, 0.104830
127.0.0.1, 2019-11-14 17:26:13, GET, /admin/default/index, HTTP/1.1, 200, 0.026462
127.0.0.1, 2019-11-14 17:26:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000166
127.0.0.1, 2019-11-14 17:26:17, POST, /admin/default/index, HTTP/1.1, 303, 0.008041
127.0.0.1, 2019-11-14 17:26:18, GET, /admin/default/site, HTTP/1.1, 200, 0.038793
127.0.0.1, 2019-11-14 17:26:18, GET, /admin/static/_2.18.5/images/folder_locked.png, HTTP/1.1, 200, 0.001569
127.0.0.1, 2019-11-14 17:26:18, GET, /admin/static/_2.18.5/images/folder.png, HTTP/1.1, 200, 0.001376
127.0.0.1, 2019-11-14 17:26:18, GET, /admin/static/_2.18.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000413
127.0.0.1, 2019-11-14 17:26:18, POST, /admin/default/check_version, HTTP/1.1, 200, 0.237407
127.0.0.1, 2019-11-14 17:26:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000175
127.0.0.1, 2019-11-14 17:26:25, GET, /admin/default/logout, HTTP/1.1, 303, 0.024336
127.0.0.1, 2019-11-14 17:26:25, GET, /admin/default/index, HTTP/1.1, 200, 0.008951
127.0.0.1, 2019-11-14 17:26:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000554
127.0.0.1, 2019-11-14 17:27:01, GET, /, HTTP/1.1, 303, 0.000569
127.0.0.1, 2019-11-14 17:27:01, GET, /welcome/default/index, HTTP/1.1, 200, 0.019838
127.0.0.1, 2019-11-14 17:27:01, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000358
